"Elements","Result","Time"
1,SAT,356
2,SAT,323
3,SAT,356
4,SAT,406
5,SAT,518
6,SAT,708
7,SAT,979
8,SAT,1605
9,SAT,2563
10,SAT,3970
11,SAT,5603
12,SAT,8786
13,SAT,12813
14,SAT,18409
15,SAT,23237
16,SAT,31980
17,SAT,43833
18,SAT,70417
19,SAT,83944
20,SAT,103303
21,SAT,135908
22,SAT,174753
23,SAT,215839
24,SAT,249541
25,SAT,325534
26,SAT,375767
27,SAT,498603
28,SAT,598770
29,SAT,691264
30,SAT,760741
31,SAT,1006851
32,SAT,1135767
33,SAT,1499123
34,SAT,1733351
35,SAT,2103361
36,SAT,2571886
37,SAT,2758565
38,SAT,3433418
